Timestamp,What is your gender?,How many siblings do you have?,What is your height?,What do you prefer?,Please list below the languages you are able to speak,What is your favorite time of the year?,What was your favorite subject in high school?,What is your favorite animal?,Do you prefer fiction or non-fiction?,Book or film?,What is favorite music genre?,"Please go to the link https://htmlcolorcodes.com and play around with the sliding bar to pick your favorite color  or https://htmlcolorcodes.com/color-chart/  to pick your favorite color from the chart OR find the color by name at the link https://htmlcolorcodes.com/color-names/ . Once you've found your favorite color, respond here with the 6-digit hexadecimal representation for your color. ",What is the date of a memorable event in your life. Please pick one below.,"#thedress
Take a look at the photo of a dress. What colors do you see?",What is your favorite drink?,How many cats or dogs have you ever had?,How often do you drink coffee?,Please visit the link https://en.wikipedia.org/wiki/Yanny_or_Laurel and listen to the sound file available there.  What do you hear?
3/14/2023 11:43:08,Female,1,5,Online Classes,"English, Ewe , Twi",Christmas,French,Cat,2,4,Gospel,#8B0000,12/4/2018,White and Gold,Coke,1,Never,Yanny
3/14/2023 12:24:55,Male,6,5.4,Online Classes,"swahili, English, Luo, Suba",May,Geography,Bear ,1,3,Rhumba/Afro-Congo,#3300FF ,8/24/2017,White and Gold,Fruit Juice,10,A few times a month,Yanny
3/14/2023 13:43:19,Male,4,,Online Classes,Kiswahili and Englsh,,English,Elephant,4,5,RnB,#FFE033 ,,White and Gold,MILK,12,A few times a week,Laurel
3/14/2023 14:15:46,Female,0,,Offline Classes,"English, Swahili,  Kikuyu",December ,Biology,Dog,5,1,RnB,,,White and Gold,Hunters dry,1,Everyday,
3/14/2023 14:19:49,Male,1,5.7,Online Classes,"English, Kiswahili, Luo",March,Agriculture,Dog,2,2,Rhumba,#33B0FF,4/24/2011,White and Gold,Passion fruit juice,5,A few times a year,Yanny
3/14/2023 14:56:25,Male,1,1.6,Offline Classes,"English , swahili, kalenjin",December ,History ,Horse,1,1,Afrobeats ,,9/9/1997,White and Gold,Tequila ,4,Everyday,Yanny
3/14/2023 15:20:03,Female,2,5,Online Classes,"Kikuyu,Swahili,English",April,Biology ,Elephants,5,1,N/A,"#99A3A4153, 163, 164",4/13/2022,White and Gold,Water,3,Everyday,Laurel
3/14/2023 15:46:20,Female,1,164,Online Classes,"English, Swahili",July,Biology,Dog,1,1,Indie,A04000,12/30/2020,White and Gold,Gingerale,5,A few times a year,Yanny
3/14/2023 16:06:09,Male,1,,,"English, Kiswahili, Kikuyu",,Math,,1,3,,	#0000FF,12/16/2022,White and Gold,Water,,A few times a week,Laurel
3/14/2023 16:46:21,Female,2,5,Online Classes,"English, Swahili, Gusii",December,Biology,Cow,3,3,Bongo,#33ECFF,5/10/2020,White and Gold,Fresh Mango Juice,5,,Laurel
3/14/2023 17:08:36,Female,2,170,Offline Classes,"English , yoruba",September,Chemistry ,,1,1,,,9/22/1996,White and Gold,Freshyo,,A few times a year,Yanny
3/14/2023 17:10:24,Male,2,183,Online Classes,"English, Ndebele, Shona",Spring,English Language,Cat,4,4,Dark Pop,3361FF,3/12/2023,White and Gold,Sting Energy Drink,4,A few times a month,Laurel
3/14/2023 21:36:11,Female,2,168,Online Classes,English and Kiswahili,September,Mathematics,Husky,1,3,Pop,D35400,8/1/2000,Black and Blue,Gin and tonic,3,A few times a week,Yanny
3/14/2023 23:43:07,Male,4,6,Offline Classes,"Dholuo, Swahili and English",December,English,Dog,4,5,Old school hip hop,4682B4 ,12/20/2019,Blue and Gold,Coffee,1,A few times a week,Laurel
3/15/2023 8:55:40,Other,4,156,Online Classes,"English , Swahili, Arabic, Kikuyu, ",May-August. Because of the rains. Best fir cuddling and unlimited snuggles,Biology and literature ,New Zealand rabbit,2,1,Electo Dance Music (EDM),AF7AC5,2/15/2020,White and Gold,Sex on the beach cocktail,2,Everyday,Yanny
3/15/2023 14:12:33,Female,9,5.2,Online Classes,"English, Kiswahili, French",October,English,Monkey,3,1,Afro beats,"174, 214, 241",12/22/2017,Blue and Brown,Delmonte Pineaple juice,1,Never,Laurel
3/15/2023 16:57:19,Male,3,5.7,Online Classes,"English, Kiswahili",Rainy Seasons,Physics,Dog,3,5,Hip Hop,#808080,12/4/2022,Brown and Purple,Milk,2,A few times a week,Yanny
3/16/2023 8:34:17,Male,3,1.86,Offline Classes,"English, French, Kabye",Summer,Mathematics,Dog,1,5,Rap,19B207,12/18/2022,White and Gold,Malta,0.01,,Yanny
3/16/2023 9:54:25,Male,1,174,Online Classes,"English, Swahili, Embu",December ,Business Studies ,Dog,2,3,Pop,40E0D0,6/17/2022,Black and Blue,Vanilla/chocolate milkshake ,1,A few times a year,Laurel
3/16/2023 11:15:31,Female,3,1.6,Online Classes,"English, Kisawhili, Kikuyu, Spanish, Italian",Christmas,Biology,Sheep,1,5,RnB,#FF33B8,3/18/2005,White and Gold,Coke,1,Never,Yanny
3/16/2023 13:12:04,Male,2,,Online Classes,"English, Swahili, Kikuyu",Rainy/cold seasons ,Physics,Dog,2,4,Rap,#0E6655,11/11/2019,White and Gold,Water,35,Everyday,Yanny