"continent","Entity","Code","Year","Homicide_Rate","Education_Expenditure","Prop_Extreme_Poverty","Corr_Perc_Index"
"Europe","Albania","ALB",2015,2.26,11.1775503158569,0.12062105945625,36
"Europe","Albania","ALB",2016,2.23,13.596960067749,0.1393031662291,39
"Europe","Albania","ALB",2017,2.18,12.3908004760742,0.39256993441453,38
"Africa","Angola","AGO",2018,3.25,5.41023015975952,31.1220062314342,19
"Asia","Armenia","ARM",2012,6.26,12.3689699172974,0.83222234925673,34
"Asia","Armenia","ARM",2013,5.68,11.1367597579956,1.73826517557701,36
"Asia","Armenia","ARM",2014,5.58,9.36711978912354,1.43914308340864,37
"Asia","Armenia","ARM",2015,5.3,10.6563596725464,1.14636006826349,35
"Asia","Armenia","ARM",2016,5.22,10.1971998214722,1.10794656780779,33
"Asia","Armenia","ARM",2017,5.06,10.4031295776367,0.78565459035303,35
"Asia","Armenia","ARM",2018,5.08,8.98857975006104,1.33982092639115,35
"Oceania","Australia","AUS",2014,1.36,13.8837900161743,0.49848380316208,80
"Oceania","Australia","AUS",2016,1.27,13.804349899292,0.49874177937585,79
"Oceania","Australia","AUS",2018,1.32,13.4804601669312,0.49709397223352,77
"Europe","Austria","AUT",2012,0.81,10.7011804580688,0.61691736850479,69
"Europe","Austria","AUT",2013,0.78,10.7402896881104,0.33799785519643,69
"Europe","Austria","AUT",2014,0.83,10.4111604690552,0.2242602161789,72
"Europe","Austria","AUT",2015,0.92,10.6934795379639,0.67719302046479,76
"Europe","Austria","AUT",2016,0.88,10.9538497924805,0.6640635484559,75
"Europe","Austria","AUT",2017,0.84,10.9303102493286,0.31808962045207,75
"Europe","Austria","AUT",2018,0.8,10.7277002334595,0.56835836958835,76
"Asia","Bangladesh","BGD",2016,2.62,11.4192800521851,13.4683029661837,26
"Europe","Belarus","BLR",2012,9.37,12.7523002624512,0.0120559203387438,31
"Europe","Belarus","BLR",2013,8.22,12.2739896774292,0,29
"Europe","Belarus","BLR",2014,7.62,12.406720161438,0,31
"Europe","Belarus","BLR",2015,8.13,11.4617300033569,0,32
"Europe","Belarus","BLR",2016,7.82,12.1587800979614,0,40
"Europe","Belarus","BLR",2017,7.89,12.2816896438599,0,44
"Europe","Belarus","BLR",2018,8.06,13.2640399932861,0,44
"Europe","Belgium","BEL",2013,1.43,11.8156795501709,0.14450805606871,75
"Europe","Belgium","BEL",2014,1.51,11.8534097671509,0.0764959588167832,76
"Europe","Belgium","BEL",2015,1.44,12.0096797943115,0.0707585482592044,77
"Europe","Belgium","BEL",2016,1.49,12.1649503707886,0.0598161542063983,77
"Europe","Belgium","BEL",2017,1.44,12.3507099151611,0.14786858240155,75
"Europe","Belgium","BEL",2018,1.43,12.2238397598267,0.0811135955451709,75
"Africa","Benin","BEN",2015,7.06,17.4795207977295,50.7092571398372,37
"Africa","Benin","BEN",2018,7.14,17.7091808319092,19.8960055655681,40
"Asia","Bhutan","BTN",2012,1.17,17.5233993530273,1.73033004260496,63
"Asia","Bhutan","BTN",2017,1.05,23.4572792053223,0.9457623986807,67
"Africa","Botswana","BWA",2015,21.62,17.5282592773438,15.4262420301819,63
"Americas","Brazil","BRA",2012,32.34,15.7277803421021,4.49351123843915,43
"Americas","Brazil","BRA",2013,32.45,15.5927095413208,3.72855167138011,42
"Americas","Brazil","BRA",2014,32.86,15.4438400268555,3.32594860053739,43
"Americas","Brazil","BRA",2015,32.54,16.2181091308594,3.87747282282964,38
"Americas","Brazil","BRA",2016,32.98,15.9288301467896,4.70619244519363,40
"Americas","Brazil","BRA",2017,32.5,16.5049095153809,5.26904927250752,37
"Americas","Brazil","BRA",2018,31.18,16.1483592987061,5.30176249510659,35
"Europe","Bulgaria","BGR",2012,2.48,10.6909198760986,2.30944382649777,41
"Europe","Bulgaria","BGR",2013,2.26,11.4398002624512,1.78377654928589,41
"Europe","Bulgaria","BGR",2017,2.57,12.7309503555298,1.37176634944214,43
"Africa","Burkina Faso","BFA",2014,8.52,19.3681106567383,39.6028586897245,38
"Africa","Burkina Faso","BFA",2018,9.3,22.661169052124,30.5353128655468,41
"Africa","Burundi","BDI",2013,0.96,17.2432594299316,65.1328928522584,21
"Africa","Cameroon","CMR",2014,3.3,12.8797597885132,25.6575177357644,27
"Africa","Cape Verde","CPV",2015,17.09,16.7482299804688,4.56423108576474,55
"Americas","Chile","CHL",2013,4.42,19.6456909179688,0.53117096650447,71
"Americas","Chile","CHL",2015,4.71,19.5940494537354,0.43143427986094,70
"Americas","Chile","CHL",2017,4.42,21.3115501403809,0.33757934319269,67
"Asia","China","CHN",2012,1.18,14.4071702957153,8.49285966222431,39
"Asia","China","CHN",2013,1.1,13.3154096603394,2.88303434868438,40
"Asia","China","CHN",2014,1.02,12.752610206604,2.07914925964741,36
"Asia","China","CHN",2015,0.97,12.2598304748535,1.16968012695312,37
"Asia","China","CHN",2016,0.93,12.2695598602295,0.83326890742523,40
"Asia","China","CHN",2017,0.89,12.1553001403809,0.67571399853515,41
"Asia","China","CHN",2018,0.86,11.4506902694702,0.42781485792212,39
"Americas","Colombia","COL",2012,39.04,15.0223398208618,6.71541704304994,36
"Americas","Colombia","COL",2013,37.36,16.2627296447754,6.11598103886081,36
"Americas","Colombia","COL",2014,33.75,14.8089799880981,5.43138274925664,37
"Americas","Colombia","COL",2015,33.11,14.2927303314209,4.92547596285245,37
"Americas","Colombia","COL",2016,35.46,14.9271898269653,4.91353019615867,37
"Americas","Colombia","COL",2017,35.61,15.4687404632568,4.33930490462354,37
"Americas","Colombia","COL",2018,35.84,12.8371896743774,4.49826114553166,36
"Africa","Comoros","COM",2014,9.94,18.8895301818848,18.6437217460608,26
"Americas","Costa Rica","CRI",2012,9.75,23.5015602111816,1.67336790931786,54
"Americas","Costa Rica","CRI",2013,10.04,22.8309097290039,1.64257881407421,53
"Americas","Costa Rica","CRI",2014,10.74,23.1095294952393,1.50530348254108,54
"Americas","Costa Rica","CRI",2015,12.19,23.3734302520752,1.57322685312318,55
"Americas","Costa Rica","CRI",2016,12.77,23.4232006072998,1.33673808257426,58
"Americas","Costa Rica","CRI",2017,11.74,30.1514205932617,1.17235104783789,59
"Americas","Costa Rica","CRI",2018,11.02,26.086669921875,1.50575256871393,56
"Africa","Cote d'Ivoire","CIV",2015,9.51,21.1732196807861,33.4471379804454,32
"Africa","Cote d'Ivoire","CIV",2018,9.06,18.2890892028809,11.4484810044862,35
"Europe","Croatia","HRV",2013,1.14,9.46037006378174,0.72886810845227,48
"Europe","Croatia","HRV",2017,1.07,8.63871002197266,0.51714880016437,49
"Asia","Cyprus","CYP",2013,1.76,15.3621301651001,0.0970185685971027,63
"Asia","Cyprus","CYP",2014,1.7,15.9277801513672,0.0783297968108277,63
"Asia","Cyprus","CYP",2015,1.67,16.024959564209,0.0267978316248117,61
"Asia","Cyprus","CYP",2016,1.65,16.4027805328369,0.0411490114662481,55
"Asia","Cyprus","CYP",2017,1.62,15.6789302825928,0.0328288643292692,57
"Europe","Czechia","CZE",2012,1.25,9.55685043334961,0.0322071555414746,49
"Europe","Czechia","CZE",2013,1.13,9.60243988037109,0.0456909288456495,48
"Europe","Czechia","CZE",2014,1.1,9.41372966766357,0,51
"Europe","Czechia","CZE",2015,1.09,13.8825197219849,0.00876451143804724,56
"Europe","Czechia","CZE",2016,0.9,13.971489906311,0,55
"Europe","Czechia","CZE",2017,0.95,9.76358985900879,0,57
"Europe","Czechia","CZE",2018,0.99,10.5118703842163,0.00886181551057191,59
"Europe","Denmark","DNK",2012,0.64,12.4887104034424,0,90
"Europe","Denmark","DNK",2013,0.61,15.2174396514893,0.31091564605586,91
"Europe","Denmark","DNK",2014,0.79,13.8268203735352,0.20261091696024,92
"Europe","Denmark","DNK",2017,0.74,15.3363304138184,0.14090515401063,88
"Africa","Djibouti","DJI",2017,9.26,13.2546997070312,19.0792072931448,31
"Americas","Dominican Republic","DOM",2012,20.73,16.9449005126953,3.84886186383576,32
"Americas","Dominican Republic","DOM",2013,21.3,25.9316005706787,2.97182314584106,29
"Americas","Dominican Republic","DOM",2014,21.61,13.1237001419067,3.35592566835798,32
"Americas","Dominican Republic","DOM",2015,21.55,22.5958499908447,2.53498694002828,33
"Americas","Dominican Republic","DOM",2016,21.01,21.9451999664307,2.03017232201702,31
"Americas","Dominican Republic","DOM",2017,20.04,22.343599319458,1.00154514786029,29
"Americas","Dominican Republic","DOM",2018,19.13,22.1554698944092,0.83553440904998,30
"Americas","Ecuador","ECU",2012,16.6,11.5341501235962,4.46314475068565,32
"Americas","Ecuador","ECU",2013,14.61,11.4425401687622,3.24108939269616,35
"Americas","Ecuador","ECU",2014,13.14,12.0683097839355,2.63561087329155,33
"Americas","Ecuador","ECU",2015,11.96,12.5976495742798,3.44006646069189,32
"Americas","El Salvador","SLV",2012,102.12,13.6019897460938,4.63714758866467,38
"Americas","El Salvador","SLV",2013,98.25,13.3928899765015,3.62472892868606,38
"Americas","El Salvador","SLV",2014,101.08,13.8908395767212,3.44148444467794,39
"Americas","El Salvador","SLV",2015,106.82,14.4657602310181,2.30884787706887,39
"Americas","El Salvador","SLV",2016,51.86,13.9743499755859,2.63298194781856,36
"Americas","El Salvador","SLV",2017,50.85,13.4645204544067,2.15549921415912,33
"Americas","El Salvador","SLV",2018,50.43,13.2915000915527,1.84276633035538,35
"Europe","Estonia","EST",2012,5.55,11.9912004470825,0.73973874845205,64
"Europe","Estonia","EST",2013,5.1,12.5826196670532,0.85965476123982,68
"Europe","Estonia","EST",2014,4.32,13.3199195861816,0.83052712745797,69
"Europe","Estonia","EST",2015,4.14,12.9666004180908,0.60004053268665,70
"Europe","Estonia","EST",2016,3.92,13.1083097457886,0.47005861732049,70
"Europe","Estonia","EST",2017,4.35,12.7503004074097,0.26870602915968,71
"Europe","Estonia","EST",2018,4.42,13.3928499221802,0.24873583354075,73
"Africa","Ethiopia","ETH",2015,6.78,27.0987091064453,27.0076192377856,33
"Europe","Finland","FIN",2012,1.6,12.893159866333,0.0527251576823993,90
"Europe","Finland","FIN",2013,1.63,12.5371704101562,0.0851375854009207,89
"Europe","Finland","FIN",2014,1.67,12.4000902175903,0.0661678400720419,89
"Europe","Finland","FIN",2015,1.57,12.4479904174805,0.0702085104563518,90
"Europe","Finland","FIN",2016,1.44,12.312310218811,0.047236144510314,89
"Europe","Finland","FIN",2017,1.49,11.8638696670532,0.0657777349935803,85
"Europe","Finland","FIN",2018,1.5,11.7516202926636,0.0567742560792196,85
"Europe","France","FRA",2017,0.81,9.65242958068848,0.0158882246816248,70
"Europe","France","FRA",2018,0.81,9.72482967376709,0.0211680548389616,72
"Africa","Gabon","GAB",2017,4.44,16.0584392547607,2.46864195645475,32
"Africa","Gambia","GMB",2015,0.61,11.0329303741455,13.3820668015578,28
"Asia","Georgia","GEO",2012,3.03,6.70775985717773,10.6662245256562,52
"Asia","Georgia","GEO",2016,3.45,12.6661996841431,4.91337152570461,57
"Asia","Georgia","GEO",2017,3.46,12.9533596038818,6.22986564084638,56
"Asia","Georgia","GEO",2018,3.43,12.9514999389648,5.55908026914432,58
"Europe","Germany","DEU",2012,0.74,11.034740447998,0,79
"Europe","Germany","DEU",2013,0.72,10.9811096191406,0,78
"Europe","Germany","DEU",2014,0.71,11.107629776001,0,79
"Europe","Germany","DEU",2015,0.75,10.9991598129272,0,81
"Europe","Germany","DEU",2016,0.74,10.9105396270752,0,81
"Europe","Germany","DEU",2017,0.73,11.0476903915405,0.23355321884745,81
"Europe","Germany","DEU",2018,0.73,11.2301797866821,0,80
"Africa","Ghana","GHA",2012,2.96,37.5209617614746,25.7429746574097,45
"Africa","Ghana","GHA",2016,2.79,22.0933208465576,25.2945155375663,43
"Europe","Greece","GRC",2015,1.17,7.18896007537842,1.37009057148373,46
"Europe","Greece","GRC",2017,1.23,7.18391990661621,0.8727766804056,48
"Europe","Greece","GRC",2018,1.32,7.42550992965698,0.13956267426895,45
"Americas","Guatemala","GTM",2014,33.94,21.9593906402588,9.52130273061929,32
"Africa","Guinea","GIN",2012,7.58,9.46061038970947,24.5441484893458,24
"Africa","Guinea","GIN",2018,7.93,14.8701200485229,13.8200995171388,28
"Americas","Honduras","HND",2013,86.53,19.864070892334,14.5685047075834,26
"Americas","Honduras","HND",2014,85.16,25.6536197662354,13.282176664816,29
"Americas","Honduras","HND",2015,90.35,24.6445598602295,12.9775539185763,31
"Americas","Honduras","HND",2016,35.2,18.0094108581543,14.6069827252602,30
"Americas","Honduras","HND",2017,34.51,19.6704692840576,13.8555216598937,29
"Americas","Honduras","HND",2018,34.16,23.1551094055176,14.23357345395,29
"Europe","Hungary","HUN",2012,1.84,8.43414974212646,0.32575903146986,55
"Europe","Hungary","HUN",2013,1.69,8.36808013916016,0.18029880555511,54
"Europe","Hungary","HUN",2014,1.51,9.19532012939453,0.65767438808185,54
"Europe","Hungary","HUN",2015,1.69,8.92302989959717,0.62615482988082,51
"Europe","Hungary","HUN",2016,1.46,9.86271953582764,1.3487225823699,48
"Europe","Hungary","HUN",2017,1.29,9.93560981750488,0.60926734105235,45
"Europe","Hungary","HUN",2018,1.47,10.0750398635864,0.20753035431708,46
"Europe","Iceland","ISL",2012,0.76,15.8455295562744,0.0335558172627997,82
"Europe","Iceland","ISL",2013,0.74,16.16455078125,0.0470263443295212,78
"Europe","Iceland","ISL",2014,0.72,16.6345996856689,0,79
"Europe","Iceland","ISL",2015,0.7,17.1171607971191,0.0344901833305643,79
"Europe","Iceland","ISL",2016,0.72,15.9746599197388,0,78
"Europe","Iceland","ISL",2017,0.79,17.0447006225586,0,77
"Asia","India","IND",2015,2.93,12.5311698913574,18.7305572279638,38
"Asia","India","IND",2016,2.92,12.7535495758057,18.1063452171317,40
"Asia","Indonesia","IDN",2012,0.97,18.0904197692871,13.7353172338797,32
"Asia","Indonesia","IDN",2013,0.95,17.6039295196533,11.1787963635613,32
"Asia","Indonesia","IDN",2014,0.93,17.6715202331543,9.26191836248,34
"Asia","Indonesia","IDN",2015,0.92,20.5032997131348,8.27628749212861,36
"Asia","Indonesia","IDN",2016,0.9,21.0787792205811,7.51736056398635,37
"Asia","Indonesia","IDN",2017,0.89,16.1104793548584,6.61834769144169,37
"Asia","Indonesia","IDN",2018,0.88,20,5.42430002795262,38
"Asia","Iran","IRN",2013,3.23,21.6735000610352,0.2687015823423,25
"Asia","Iran","IRN",2014,3.18,19.6648693084717,0.7932577574383,27
"Asia","Iran","IRN",2015,3.12,18.5687503814697,0.72021690961778,27
"Asia","Iran","IRN",2016,3.01,19.4454307556152,0.69328687144604,29
"Asia","Iran","IRN",2017,2.85,20.3052101135254,0.63202984230147,30
"Asia","Iran","IRN",2018,2.72,21.1460399627686,0.85775532534755,28
"Europe","Ireland","IRL",2012,0.91,13.5666399002075,0.33501236546846,69
"Europe","Ireland","IRL",2013,0.75,13.0846300125122,0.68222850115131,72
"Europe","Ireland","IRL",2014,0.75,12.8518295288086,0.38895379330453,74
"Europe","Ireland","IRL",2015,0.62,12.8188199996948,0.36762756414669,75
"Europe","Ireland","IRL",2016,0.64,13.2103204727173,0.13472612075583,73
"Europe","Ireland","IRL",2017,0.65,13.2017097473145,0.24319611549932,74
"Europe","Ireland","IRL",2018,0.65,13.2029495239258,0.00392138580370284,73
"Asia","Israel","ISR",2012,2.13,14.0771903991699,0.73900738983379,60
"Asia","Israel","ISR",2013,2.08,14.5331201553345,0.45378033612217,61
"Asia","Israel","ISR",2014,2.01,14.8553800582886,0.49243242007819,60
"Asia","Israel","ISR",2015,2.08,15.4929103851318,0.49385365469248,61
"Asia","Israel","ISR",2016,1.87,15.4365997314453,0.24139464325268,64
"Asia","Israel","ISR",2017,1.95,15.7010803222656,0.45742481992044,62
"Asia","Israel","ISR",2018,1.97,15.5212202072144,0.49676623734505,61
"Europe","Italy","ITA",2012,0.92,8.01743030548096,1.20060849080335,42
"Europe","Italy","ITA",2013,0.87,8.1325798034668,1.37316720649828,43
"Europe","Italy","ITA",2014,0.79,7.9859299659729,1.23212029928105,43
"Europe","Italy","ITA",2015,0.82,8.09591007232666,1.94886640760099,44
"Europe","Italy","ITA",2016,0.78,7.77489995956421,1.6299454933417,47
"Europe","Italy","ITA",2017,0.8,8.29518032073975,1.42163425261996,50
"Europe","Italy","ITA",2018,0.81,8.79574012756348,1.45764687124155,52
"Asia","Kazakhstan","KAZ",2015,10,12.193039894104,0.0382705867123473,28
"Asia","Kazakhstan","KAZ",2016,9.75,13.8440999984741,0.0505287176426845,29
"Asia","Kazakhstan","KAZ",2017,8.63,11.4199104309082,0.0414989967810902,31
"Asia","Kazakhstan","KAZ",2018,9.22,13.8801803588867,0.0151407910715232,31
"Africa","Kenya","KEN",2015,9.66,16.6646595001221,29.3651058549881,25
"Asia","Kyrgyzstan","KGZ",2012,5.85,18.1950092315674,2.62981471565378,24
